 ,Area,Mean,Min,Max
1,51.910,163.787,0,239
2,61.565,177.844,0,244
3,62.999,175.429,0,243
4,74.468,178.669,0,239
5,65.672,175.575,0,241
6,76.449,173.554,0,233
7,64.686,187.517,0,242
8,68.593,190.548,11,235
