 ,Area,Mean,Min,Max
1,22.218,150.415,0,247
2,40.424,163.113,2,239
3,23.505,128.792,0,241
4,23.546,134.454,15,229
5,21.032,152.248,0,222
6,25.808,157.059,0,248
7,16.290,148.920,63,243
8,23.546,110.453,0,232
