 ,Area,Mean,Min,Max
1,28.647,149.773,73,242
2,40.747,155.495,13,241
3,19.349,136.455,0,240
4,20.016,111.647,0,240
5,23.789,110.280,0,238
6,25.366,121.332,0,238
7,10.103,119.886,66,226
8,12.455,111.621,65,234
