 ,Area,Mean,Min,Max
1,32.914,183.441,24,247
2,51.181,160.235,0,246
3,33.185,177.096,24,247
4,38.372,145.363,0,246
5,41.855,179.580,28,243
6,46.956,182.092,33,244
7,26.360,141.384,0,246
8,39.977,168.997,0,238
