 ,Area,Mean,Min,Max
1,42.873,160.253,0,226
2,35.638,142.475,7,249
3,39.051,162.821,3,251
4,45.348,143.390,0,244
5,39.955,158.794,10,236
6,38.158,150.303,0,242
7,40.962,162.679,5,247
8,43.809,170.867,1,241
