 ,Area,IntDen,RawIntDen
1,89360514.965,5.271E12,447930491.000
2,89360514.965,5.271E12,447930491.000
3,91843405.228,5.373E12,456597906.000
4,96161986.870,5.633E12,478707588.000
5,17035216000.000,1.008E15,85676041124.000
6,17035216000.000,1.008E15,85676041124.000
7,82229559.991,4.822E12,409761813.000
8,96044314.346,5.618E12,477454707.000
9,94561640.539,5.514E12,468546635.000
10,81182274.525,4.727E12,401701982.000
11,78311064.931,4.548E12,386526576.000
12,78169857.902,4.595E12,390456544.000
13,76204726.746,4.438E12,377115854.000
14,85100769.584,4.993E12,424311277.000
15,89689998.033,5.312E12,451437067.000
16,76581278.824,4.411E12,374846546.000
