Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
0000371_01,700,00001,907506,983010,624,121,Signal
0000371_01,700,00002,884685,957693,624,117,Signal
0000371_01,700,00003,892661,968165,624,121,Signal
0000371_01,700,00004,876747,959115,624,132,Signal
