Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
0000375_01,800,00001,453196,586629,799,167,Signal
0000375_01,800,00002,388889,522322,799,167,Signal
0000375_01,800,00003,601655,737485,799,170,Signal
0000375_01,800,00004,498352,642172,799,180,Signal
