Well,Fluor,Target,Content,Sample,Cq,SQ
I11,FAM,Gusb,Unkn,KO_mock_02,24.57569852,NaN
I12,FAM,Gusb,Unkn,KO_mock_02,25.99448933,NaN
J01,FAM,Gusb,Unkn,KO_TGFb_01,25.89926193,NaN
J02,FAM,Gusb,Unkn,KO_TGFb_01,26.19143023,NaN
J03,FAM,Gusb,Unkn,KO_TGFb_02,26.15572148,NaN
J04,FAM,Gusb,Unkn,KO_TGFb_02,26.17765577,NaN
J05,FAM,Gusb,NTC,,NaN,NaN
J06,FAM,Gusb,NTC,,NaN,NaN
J07,FAM,Gusb,Unkn,CALIB,NaN,NaN
J08,FAM,Gusb,Unkn,CALIB,NaN,NaN
K01,FAM,Ppia,Unkn,WT_mock_01,21.43447369,NaN
K02,FAM,Ppia,Unkn,WT_mock_01,21.6404635,NaN
K03,FAM,Ppia,Unkn,WT_mock_02,21.66052584,NaN
K04,FAM,Ppia,Unkn,WT_mock_02,21.67508732,NaN
K05,FAM,Ppia,Unkn,WT_TGFb_01,21.10936433,NaN
K06,FAM,Ppia,Unkn,WT_TGFb_01,21.11588667,NaN
K07,FAM,Ppia,Unkn,WT_TGFb_02,21.02145668,NaN
K08,FAM,Ppia,Unkn,WT_TGFb_02,21.05381658,NaN
K09,FAM,Ppia,Unkn,KO_mock_01,21.33816089,NaN
K10,FAM,Ppia,Unkn,KO_mock_01,21.4529653,NaN
K11,FAM,Ppia,Unkn,KO_mock_02,21.47145215,NaN
K12,FAM,Ppia,Unkn,KO_mock_02,31.22912895,NaN
L01,FAM,Ppia,Unkn,KO_TGFb_01,21.23319323,NaN
L02,FAM,Ppia,Unkn,KO_TGFb_01,21.41210336,NaN
L03,FAM,Ppia,Unkn,KO_TGFb_02,21.46721145,NaN
L04,FAM,Ppia,Unkn,KO_TGFb_02,21.48157739,NaN
L05,FAM,Ppia,NTC,,NaN,NaN
L06,FAM,Ppia,NTC,,NaN,NaN
L07,FAM,Ppia,Unkn,CALIB,27.29315786,NaN
L08,FAM,Ppia,Unkn,CALIB,27.26056498,NaN
M01,FAM,Serpine1,Unkn,WT_mock_01,23.18088451,NaN
M02,FAM,Serpine1,Unkn,WT_mock_01,23.3559878,NaN
M03,FAM,Serpine1,Unkn,WT_mock_02,23.48802351,NaN
M04,FAM,Serpine1,Unkn,WT_mock_02,23.48640534,NaN
M05,FAM,Serpine1,Unkn,WT_TGFb_01,19.49361315,NaN
M06,FAM,Serpine1,Unkn,WT_TGFb_01,19.54713116,NaN
M07,FAM,Serpine1,Unkn,WT_TGFb_02,19.343352,NaN
M08,FAM,Serpine1,Unkn,WT_TGFb_02,19.40803593,NaN
M09,FAM,Serpine1,Unkn,KO_mock_01,22.94468211,NaN
M10,FAM,Serpine1,Unkn,KO_mock_01,22.98683941,NaN
M11,FAM,Serpine1,Unkn,KO_mock_02,22.88469017,NaN
M12,FAM,Serpine1,Unkn,KO_mock_02,22.41396002,NaN
N01,FAM,Serpine1,Unkn,KO_TGFb_01,20.77920548,NaN
N02,FAM,Serpine1,Unkn,KO_TGFb_01,20.99464869,NaN
N03,FAM,Serpine1,Unkn,KO_TGFb_02,21.21276592,NaN
N04,FAM,Serpine1,Unkn,KO_TGFb_02,21.22657784,NaN
N05,FAM,Serpine1,NTC,,NaN,NaN
N06,FAM,Serpine1,NTC,,NaN,NaN
N07,FAM,Serpine1,Unkn,CALIB,27.1595969,NaN
N08,FAM,Serpine1,Unkn,CALIB,27.05622383,NaN
