A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0.079,0.082,0.076,0.081,0.079,0.095,0.143,0.091,0.14,0.082,0.114,0.081,0.097,0.077,0.086,0.077
0.079,0.083,0.077,0.081,0.079,0.095,0.144,0.088,0.139,0.083,0.116,0.082,0.098,0.077,0.086,0.078
0.079,0.082,0.077,0.081,0.079,0.096,0.146,0.088,0.137,0.083,0.117,0.082,0.098,0.077,0.086,0.078
0.08,0.083,0.077,0.082,0.08,0.097,0.148,0.089,0.137,0.083,0.118,0.082,0.099,0.078,0.087,0.078
0.08,0.084,0.078,0.082,0.08,0.098,0.15,0.089,0.144,0.084,0.118,0.083,0.1,0.078,0.088,0.079
0.08,0.084,0.078,0.082,0.08,0.098,0.151,0.09,0.142,0.084,0.119,0.083,0.101,0.079,0.088,0.079
0.081,0.084,0.078,0.083,0.081,0.099,0.153,0.09,0.142,0.084,0.121,0.083,0.101,0.079,0.088,0.079
0.081,0.084,0.078,0.083,0.081,0.099,0.154,0.091,0.145,0.085,0.121,0.084,0.101,0.079,0.088,0.08
0.081,0.085,0.079,0.083,0.081,0.1,0.155,0.091,0.144,0.086,0.122,0.084,0.102,0.079,0.089,0.08
0.082,0.085,0.079,0.084,0.081,0.101,0.157,0.091,0.153,0.085,0.123,0.085,0.102,0.08,0.089,0.08
0.082,0.085,0.079,0.084,0.082,0.101,0.159,0.092,0.149,0.087,0.124,0.085,0.103,0.08,0.09,0.08
0.082,0.086,0.079,0.084,0.082,0.102,0.16,0.092,0.153,0.086,0.125,0.085,0.104,0.08,0.091,0.081
0.082,0.086,0.08,0.084,0.082,0.102,0.162,0.093,0.152,0.087,0.126,0.086,0.104,0.08,0.09,0.081
0.083,0.086,0.08,0.085,0.083,0.103,0.163,0.094,0.154,0.087,0.126,0.086,0.105,0.081,0.091,0.081
0.083,0.087,0.081,0.085,0.083,0.104,0.165,0.094,0.154,0.087,0.127,0.086,0.106,0.081,0.091,0.082
0.083,0.088,0.081,0.085,0.083,0.104,0.167,0.094,0.157,0.088,0.128,0.086,0.107,0.081,0.092,0.082
0.084,0.088,0.081,0.086,0.083,0.105,0.168,0.095,0.154,0.088,0.13,0.087,0.106,0.082,0.092,0.082
0.084,0.088,0.081,0.086,0.084,0.105,0.17,0.095,0.16,0.09,0.13,0.087,0.108,0.082,0.093,0.082
0.084,0.088,0.081,0.086,0.084,0.106,0.171,0.097,0.161,0.089,0.131,0.088,0.108,0.082,0.093,0.083
0.085,0.088,0.082,0.087,0.084,0.107,0.172,0.096,0.159,0.09,0.132,0.088,0.108,0.083,0.093,0.083
0.085,0.089,0.082,0.087,0.084,0.107,0.173,0.097,0.16,0.09,0.133,0.088,0.109,0.083,0.094,0.083
0.085,0.089,0.083,0.087,0.085,0.108,0.175,0.097,0.163,0.09,0.133,0.089,0.11,0.083,0.095,0.084
0.086,0.089,0.083,0.088,0.085,0.108,0.176,0.098,0.164,0.09,0.134,0.089,0.11,0.083,0.095,0.084
0.086,0.089,0.083,0.088,0.085,0.109,0.178,0.098,0.162,0.091,0.136,0.089,0.11,0.084,0.095,0.084
0.087,0.09,0.083,0.088,0.086,0.109,0.179,0.099,0.167,0.091,0.136,0.09,0.111,0.084,0.095,0.084
0.086,0.09,0.084,0.089,0.086,0.11,0.18,0.099,0.164,0.091,0.138,0.09,0.111,0.084,0.096,0.085
0.087,0.09,0.084,0.089,0.086,0.111,0.181,0.099,0.166,0.092,0.138,0.09,0.112,0.085,0.096,0.085
0.087,0.091,0.084,0.089,0.087,0.111,0.183,0.1,0.167,0.093,0.139,0.091,0.112,0.085,0.097,0.085
0.087,0.091,0.085,0.09,0.087,0.112,0.184,0.1,0.168,0.092,0.139,0.091,0.113,0.085,0.097,0.086
0.088,0.091,0.085,0.09,0.087,0.112,0.186,0.101,0.17,0.093,0.14,0.091,0.113,0.086,0.097,0.086
0.088,0.092,0.085,0.09,0.087,0.113,0.187,0.101,0.171,0.093,0.141,0.092,0.114,0.086,0.098,0.086
0.088,0.092,0.086,0.09,0.087,0.113,0.188,0.102,0.172,0.094,0.142,0.092,0.115,0.086,0.098,0.086
0.088,0.092,0.086,0.091,0.088,0.114,0.189,0.102,0.172,0.094,0.142,0.092,0.115,0.086,0.099,0.087
0.089,0.093,0.086,0.091,0.088,0.114,0.191,0.105,0.176,0.094,0.143,0.093,0.116,0.087,0.099,0.088
0.089,0.093,0.086,0.091,0.088,0.115,0.192,0.103,0.175,0.094,0.144,0.093,0.116,0.087,0.099,0.087
0.089,0.093,0.087,0.092,0.088,0.115,0.194,0.103,0.178,0.096,0.145,0.094,0.117,0.087,0.099,0.088
0.09,0.093,0.087,0.092,0.089,0.116,0.195,0.103,0.177,0.096,0.145,0.094,0.117,0.087,0.1,0.088
0.09,0.094,0.087,0.092,0.089,0.116,0.196,0.104,0.178,0.095,0.146,0.094,0.117,0.088,0.1,0.088
0.09,0.094,0.087,0.093,0.089,0.117,0.197,0.104,0.178,0.096,0.147,0.095,0.118,0.088,0.101,0.089
0.091,0.095,0.087,0.093,0.09,0.117,0.198,0.105,0.179,0.097,0.148,0.095,0.118,0.088,0.101,0.089
0.091,0.095,0.088,0.093,0.09,0.118,0.199,0.105,0.18,0.098,0.149,0.095,0.118,0.089,0.101,0.089
0.091,0.095,0.088,0.093,0.09,0.118,0.2,0.106,0.181,0.097,0.149,0.096,0.119,0.089,0.101,0.089
0.091,0.095,0.088,0.094,0.09,0.119,0.201,0.11,0.185,0.098,0.15,0.096,0.119,0.089,0.102,0.09
0.092,0.096,0.088,0.094,0.091,0.119,0.202,0.107,0.184,0.099,0.151,0.096,0.12,0.09,0.102,0.09
0.092,0.096,0.089,0.094,0.091,0.12,0.203,0.108,0.184,0.098,0.152,0.096,0.12,0.09,0.102,0.09
0.092,0.096,0.089,0.095,0.091,0.121,0.204,0.107,0.186,0.098,0.152,0.097,0.121,0.09,0.103,0.09
0.093,0.097,0.089,0.095,0.092,0.121,0.205,0.111,0.186,0.1,0.153,0.097,0.121,0.09,0.103,0.091
0.093,0.097,0.09,0.095,0.092,0.122,0.207,0.108,0.191,0.099,0.153,0.097,0.122,0.091,0.103,0.091
0.093,0.097,0.09,0.096,0.092,0.122,0.208,0.111,0.19,0.099,0.154,0.098,0.122,0.091,0.104,0.091
0.094,0.097,0.09,0.096,0.092,0.123,0.209,0.109,0.19,0.099,0.155,0.098,0.123,0.091,0.104,0.091
0.094,0.098,0.09,0.096,0.093,0.123,0.21,0.109,0.19,0.1,0.156,0.098,0.123,0.091,0.105,0.092
0.094,0.098,0.091,0.097,0.093,0.124,0.211,0.11,0.198,0.1,0.156,0.099,0.124,0.092,0.105,0.092
0.094,0.098,0.091,0.097,0.093,0.124,0.212,0.111,0.194,0.101,0.157,0.099,0.124,0.092,0.105,0.092
0.095,0.098,0.091,0.097,0.094,0.125,0.213,0.114,0.198,0.101,0.158,0.099,0.124,0.092,0.106,0.093
0.095,0.099,0.091,0.097,0.094,0.125,0.214,0.112,0.202,0.101,0.158,0.1,0.125,0.092,0.106,0.093
0.095,0.099,0.092,0.098,0.094,0.126,0.215,0.111,0.198,0.101,0.159,0.1,0.125,0.093,0.106,0.093
0.096,0.1,0.092,0.098,0.094,0.126,0.217,0.111,0.201,0.102,0.16,0.1,0.125,0.093,0.107,0.094
0.096,0.1,0.092,0.098,0.095,0.126,0.217,0.113,0.2,0.103,0.161,0.1,0.126,0.093,0.107,0.094
0.096,0.101,0.093,0.099,0.095,0.127,0.218,0.113,0.197,0.103,0.16,0.101,0.127,0.094,0.108,0.094
0.096,0.1,0.093,0.099,0.095,0.128,0.219,0.112,0.198,0.103,0.161,0.101,0.127,0.094,0.108,0.094
0.097,0.101,0.094,0.099,0.095,0.128,0.221,0.113,0.2,0.103,0.162,0.102,0.128,0.094,0.108,0.095
0.098,0.101,0.094,0.099,0.096,0.128,0.221,0.113,0.199,0.104,0.163,0.102,0.128,0.094,0.109,0.095
0.097,0.101,0.094,0.1,0.096,0.129,0.222,0.116,0.201,0.103,0.163,0.102,0.129,0.095,0.109,0.095
0.098,0.102,0.094,0.1,0.096,0.129,0.223,0.114,0.207,0.104,0.164,0.102,0.129,0.095,0.109,0.096
0.098,0.102,0.095,0.1,0.097,0.13,0.225,0.118,0.206,0.105,0.165,0.103,0.129,0.095,0.109,0.096
0.098,0.102,0.095,0.1,0.096,0.13,0.225,0.115,0.203,0.105,0.165,0.103,0.13,0.096,0.11,0.096
0.099,0.102,0.095,0.101,0.097,0.131,0.226,0.117,0.208,0.105,0.165,0.103,0.13,0.096,0.11,0.096
0.099,0.103,0.095,0.101,0.097,0.131,0.227,0.116,0.211,0.105,0.166,0.104,0.131,0.096,0.111,0.097
0.099,0.103,0.096,0.101,0.098,0.132,0.228,0.117,0.209,0.105,0.166,0.104,0.131,0.097,0.111,0.097
0.1,0.103,0.096,0.102,0.098,0.133,0.229,0.117,0.209,0.106,0.167,0.104,0.131,0.097,0.111,0.097
