A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0.063,0.064,0.062,0.062,0.066,0.063,0.063,0.062,0.062,0.064,0.065,0.063,0.063,0.063,0.062,0.063
0.063,0.064,0.062,0.063,0.066,0.063,0.063,0.063,0.062,0.063,0.066,0.063,0.063,0.063,0.062,0.064
0.063,0.064,0.062,0.063,0.066,0.064,0.063,0.064,0.063,0.063,0.066,0.063,0.064,0.063,0.062,0.064
0.064,0.065,0.063,0.063,0.066,0.064,0.064,0.064,0.064,0.064,0.065,0.063,0.064,0.063,0.063,0.064
0.064,0.065,0.063,0.063,0.066,0.064,0.065,0.063,0.069,0.064,0.065,0.063,0.064,0.063,0.063,0.064
0.064,0.065,0.064,0.063,0.066,0.064,0.065,0.064,0.064,0.064,0.066,0.064,0.064,0.064,0.063,0.064
0.064,0.065,0.063,0.064,0.067,0.065,0.066,0.064,0.066,0.064,0.066,0.064,0.066,0.064,0.064,0.064
0.065,0.065,0.064,0.064,0.067,0.065,0.067,0.065,0.071,0.065,0.067,0.064,0.065,0.065,0.064,0.066
0.065,0.066,0.064,0.064,0.067,0.066,0.068,0.065,0.071,0.065,0.068,0.065,0.066,0.065,0.064,0.066
0.065,0.066,0.064,0.065,0.067,0.066,0.068,0.065,0.072,0.066,0.069,0.065,0.066,0.065,0.064,0.065
0.066,0.066,0.064,0.065,0.068,0.067,0.069,0.065,0.075,0.066,0.069,0.065,0.067,0.065,0.066,0.065
0.066,0.067,0.065,0.065,0.068,0.068,0.071,0.067,0.072,0.066,0.07,0.065,0.068,0.065,0.065,0.066
0.066,0.067,0.065,0.066,0.068,0.068,0.072,0.066,0.073,0.067,0.071,0.066,0.068,0.065,0.066,0.066
0.067,0.068,0.065,0.066,0.068,0.069,0.073,0.067,0.075,0.067,0.072,0.066,0.069,0.065,0.066,0.066
0.067,0.068,0.065,0.067,0.068,0.069,0.075,0.068,0.077,0.067,0.073,0.067,0.07,0.066,0.067,0.066
0.067,0.069,0.066,0.067,0.069,0.07,0.077,0.068,0.08,0.068,0.074,0.068,0.07,0.066,0.067,0.067
0.067,0.069,0.066,0.067,0.069,0.071,0.078,0.069,0.077,0.068,0.074,0.067,0.071,0.067,0.068,0.067
0.068,0.069,0.066,0.068,0.069,0.071,0.08,0.07,0.079,0.069,0.077,0.068,0.072,0.067,0.068,0.068
0.068,0.07,0.067,0.068,0.07,0.072,0.082,0.07,0.081,0.069,0.077,0.069,0.073,0.067,0.069,0.068
0.068,0.07,0.067,0.069,0.07,0.073,0.084,0.072,0.084,0.069,0.078,0.069,0.073,0.068,0.07,0.068
0.069,0.07,0.067,0.069,0.07,0.074,0.086,0.071,0.085,0.07,0.08,0.069,0.074,0.068,0.07,0.068
0.069,0.071,0.067,0.069,0.07,0.074,0.087,0.071,0.086,0.07,0.081,0.069,0.075,0.068,0.07,0.068
0.069,0.071,0.068,0.07,0.07,0.075,0.089,0.072,0.091,0.07,0.082,0.07,0.076,0.068,0.071,0.069
0.07,0.071,0.068,0.07,0.071,0.076,0.091,0.074,0.09,0.071,0.083,0.07,0.077,0.069,0.072,0.069
0.07,0.072,0.068,0.07,0.071,0.077,0.093,0.073,0.094,0.071,0.084,0.071,0.077,0.069,0.072,0.069
0.07,0.072,0.069,0.071,0.071,0.077,0.095,0.073,0.096,0.072,0.086,0.071,0.078,0.069,0.073,0.07
0.071,0.073,0.069,0.071,0.072,0.078,0.097,0.074,0.094,0.072,0.087,0.071,0.079,0.069,0.073,0.07
0.071,0.073,0.069,0.071,0.072,0.079,0.099,0.076,0.095,0.073,0.088,0.072,0.08,0.07,0.074,0.07
0.071,0.074,0.069,0.072,0.072,0.079,0.101,0.075,0.097,0.073,0.089,0.072,0.081,0.07,0.074,0.07
0.072,0.074,0.07,0.072,0.072,0.08,0.103,0.076,0.106,0.073,0.09,0.073,0.082,0.07,0.075,0.071
0.072,0.075,0.07,0.073,0.073,0.081,0.105,0.078,0.105,0.074,0.091,0.073,0.082,0.07,0.076,0.071
0.072,0.075,0.07,0.073,0.073,0.082,0.107,0.077,0.105,0.074,0.093,0.074,0.083,0.072,0.076,0.073
0.073,0.075,0.071,0.074,0.073,0.082,0.109,0.081,0.103,0.075,0.094,0.074,0.084,0.071,0.076,0.072
0.073,0.076,0.071,0.074,0.074,0.083,0.11,0.078,0.105,0.075,0.096,0.074,0.085,0.071,0.077,0.072
0.073,0.076,0.071,0.074,0.074,0.084,0.113,0.081,0.107,0.075,0.096,0.075,0.085,0.072,0.078,0.072
0.074,0.076,0.072,0.075,0.074,0.084,0.114,0.079,0.116,0.076,0.097,0.075,0.086,0.072,0.078,0.073
0.074,0.077,0.072,0.075,0.074,0.085,0.117,0.08,0.113,0.076,0.099,0.076,0.087,0.073,0.079,0.074
0.074,0.077,0.072,0.076,0.075,0.086,0.118,0.08,0.112,0.077,0.1,0.076,0.088,0.073,0.079,0.073
0.074,0.078,0.073,0.076,0.075,0.086,0.12,0.081,0.113,0.077,0.101,0.076,0.088,0.074,0.08,0.075
0.075,0.078,0.073,0.076,0.075,0.087,0.122,0.081,0.114,0.077,0.102,0.076,0.089,0.073,0.08,0.074
0.075,0.078,0.073,0.077,0.076,0.087,0.124,0.083,0.116,0.078,0.103,0.077,0.09,0.074,0.081,0.074
0.075,0.078,0.073,0.077,0.076,0.088,0.125,0.082,0.117,0.079,0.104,0.077,0.09,0.074,0.081,0.074
0.076,0.079,0.073,0.077,0.076,0.089,0.127,0.083,0.12,0.079,0.105,0.078,0.091,0.074,0.082,0.075
0.076,0.079,0.074,0.078,0.077,0.09,0.129,0.083,0.12,0.08,0.106,0.078,0.092,0.075,0.082,0.075
0.076,0.079,0.075,0.078,0.077,0.09,0.131,0.084,0.122,0.08,0.107,0.079,0.092,0.075,0.083,0.075
0.077,0.08,0.075,0.078,0.077,0.091,0.132,0.086,0.124,0.08,0.109,0.079,0.093,0.075,0.083,0.076
0.077,0.08,0.075,0.079,0.077,0.092,0.134,0.085,0.127,0.08,0.109,0.079,0.094,0.075,0.083,0.076
0.077,0.081,0.075,0.079,0.078,0.092,0.136,0.085,0.127,0.081,0.11,0.08,0.094,0.076,0.084,0.076
0.078,0.081,0.075,0.079,0.078,0.093,0.138,0.086,0.134,0.081,0.112,0.08,0.095,0.076,0.084,0.077
0.078,0.081,0.076,0.08,0.078,0.094,0.139,0.087,0.131,0.081,0.113,0.08,0.096,0.076,0.085,0.077
0.078,0.082,0.076,0.08,0.079,0.094,0.141,0.087,0.135,0.082,0.114,0.081,0.096,0.076,0.085,0.077
