bleo,Alda1,SABGal_norm
nobleo,Alda0uM,2.856364392230587e-5
nobleo,Alda40uM,3.12158615344141e-5
nobleo,Alda5uM,2.9771300391340085e-5
plusbleo,Alda0uM,7.268860546700481e-5
plusbleo,Alda40uM,4.6057305923925064e-5
plusbleo,Alda5uM,6.46705512811286e-5
