bleo,Alda1,SABGal_norm
nobleo,Alda0uM,3.078931970490047e-5
nobleo,Alda40uM,3.356519415335818e-5
nobleo,Alda5uM,3.1302534891302176e-5
plusbleo,Alda0uM,8.29676457396593e-5
plusbleo,Alda40uM,6.0848490540228064e-5
plusbleo,Alda5uM,7.189639663463656e-5
