bleo,Alda1,SABGal_norm
nobleo,Alda0uM,2.2542121410101538e-5
nobleo,Alda40uM,2.5887955000424957e-5
nobleo,Alda5uM,2.6134484537915834e-5
plusbleo,Alda0uM,7.128039488537945e-5
plusbleo,Alda40uM,5.142872060723296e-5
plusbleo,Alda5uM,6.769243512537505e-5
