bleo,Alda1,SABGal_norm
nobleo,Alda0uM,5.19550381573766e-5
nobleo,Alda40uM,4.152475430898026e-5
nobleo,Alda5uM,3.9523458482364386e-5
plusbleo,Alda0uM,9.900492442759704e-5
plusbleo,Alda40uM,7.089556120383262e-5
plusbleo,Alda5uM,8.739810396672122e-5
