 ,Area,Mean,Min,Max
1,98.794,164.002,0,240
2,66.656,165.193,0,248
3,55.427,155.097,0,248
4,55.427,142.503,0,247
5,73.439,160.628,0,238
6,81.600,157.266,0,239
7,49.121,149.027,0,229
8,61.986,147.101,0,237
