 ,Area,Mean,Min,Max
1,128.418,163.667,0,247
2,101.850,159.321,0,246
3,95.649,188.346,0,234
4,110.315,167.812,0,227
5,122.690,170.248,0,232
6,114.578,159.940,0,241
7,106.747,177.862,0,237
8,108.131,170.630,0,241
