 ,Area,Mean,Min,Max
1,87.033,87.007,18,254
2,70.429,78.260,12,254
3,58.183,87.475,28,254
4,49.490,88.624,14,220
5,80.584,83.574,18,254
6,83.208,120.111,25,254
7,58.751,98.115,16,254
8,58.542,92.797,41,254
