bleo,Alda1,sd,SABGal_norm
nobleo,Alda0uM,1.292977081451346e-5,3.049316577009717e-5
nobleo,Alda5uM,6.49751239692488e-6,2.977490229022299e-5
nobleo,Alda40uM,7.209239613999141e-6,3.103415831401791e-5
plusbleo,Alda0uM,1.5173889200080834e-5,8.61239869308728e-5
plusbleo,Alda5uM,1.19484318239203e-5,7.655453742063839e-5
plusbleo,Alda40uM,1.0191593555961811e-5,5.561675965595541e-5
