image,signal,cells,normSignal
veh_01,2659545.674,59,45077.04532
veh_02,2148260.838,44,48824.10995
veh_03,1879218.26,49,38351.39306
bleo_01,1575176.93,34,46328.73324
bleo_02,2291101.98,41,55880.5361
bleo_03,1494921.676,35,42712.04789
