A1,B1,C1,D1,E1,F1,G1,H1
0.073,0.065,0.066,0.068,0.065,0.065,0.069,0.066
0.074,0.065,0.067,0.069,0.066,0.066,0.07,0.067
0.076,0.066,0.068,0.07,0.067,0.067,0.071,0.067
0.076,0.067,0.069,0.071,0.073,0.068,0.072,0.068
0.077,0.068,0.07,0.072,0.074,0.069,0.073,0.068
0.079,0.069,0.071,0.072,0.075,0.07,0.074,0.069
0.08,0.071,0.074,0.073,0.075,0.072,0.076,0.069
0.083,0.074,0.074,0.074,0.075,0.075,0.078,0.07
0.084,0.076,0.075,0.076,0.079,0.077,0.079,0.07
0.087,0.078,0.075,0.078,0.079,0.079,0.081,0.071
0.089,0.081,0.077,0.08,0.083,0.083,0.083,0.071
0.092,0.085,0.082,0.084,0.085,0.085,0.085,0.072
0.094,0.087,0.082,0.086,0.088,0.087,0.088,0.072
0.097,0.09,0.086,0.089,0.09,0.09,0.091,0.072
0.1,0.094,0.088,0.093,0.091,0.093,0.094,0.073
0.102,0.098,0.092,0.097,0.095,0.096,0.097,0.073
0.105,0.101,0.095,0.101,0.099,0.099,0.1,0.074
0.107,0.104,0.097,0.105,0.101,0.101,0.103,0.074
0.11,0.108,0.101,0.109,0.105,0.105,0.106,0.074
0.112,0.112,0.104,0.112,0.107,0.108,0.109,0.075
0.116,0.115,0.107,0.116,0.111,0.111,0.112,0.075
0.118,0.118,0.11,0.119,0.115,0.114,0.115,0.076
0.12,0.121,0.113,0.122,0.118,0.117,0.118,0.076
0.123,0.125,0.117,0.126,0.122,0.12,0.121,0.077
0.125,0.128,0.12,0.129,0.124,0.123,0.124,0.077
0.127,0.131,0.123,0.133,0.126,0.125,0.127,0.077
0.13,0.134,0.126,0.135,0.129,0.128,0.13,0.078
0.132,0.137,0.129,0.138,0.131,0.13,0.132,0.078
0.135,0.139,0.13,0.141,0.133,0.132,0.135,0.079
0.136,0.143,0.133,0.144,0.135,0.135,0.138,0.079
0.138,0.145,0.135,0.146,0.136,0.137,0.14,0.08
0.141,0.148,0.138,0.149,0.139,0.139,0.143,0.08
0.143,0.15,0.14,0.151,0.142,0.141,0.146,0.08
