Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
0000390_01,800,00001,1878,43998,468,90,Signal
0000390_01,800,00002,685,45613,468,96,Signal
0000390_01,800,00003,2369,51041,468,104,Signal
0000390_01,800,00004,3981,52653,468,104,Signal
0000390_01,800,00005,3759,60387,468,121,Signal
0000390_01,800,00006,4171,65947,468,132,Signal
