Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
0000387_01,800,00001,26526,70350,528,83,Signal
0000387_01,800,00002,15036,56748,528,79,Signal
0000387_01,800,00003,29085,71853,528,81,Signal
0000387_01,800,00004,28966,71734,528,81,Signal
0000387_01,800,00005,28283,72107,528,83,Signal
0000387_01,800,00006,30405,73173,528,81,Signal
