Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
0000389_01,800,00001,168847,240975,644,112,Signal
0000389_01,800,00002,110185,174585,644,100,Signal
0000389_01,800,00003,162014,230922,644,107,Signal
0000389_01,800,00004,164808,236292,644,111,Signal
0000389_01,800,00005,162516,237864,644,117,Signal
0000389_01,800,00006,182329,256389,644,115,Signal
