A1,B1,C1,D1,E1,F1,G1,H1
0.104,0.147,0.171,0.233,0.088,0.093,0.09,0.086
0.105,0.149,0.173,0.239,0.089,0.094,0.09,0.087
0.106,0.151,0.175,0.242,0.089,0.094,0.091,0.086
0.106,0.153,0.178,0.247,0.09,0.095,0.091,0.086
0.107,0.16,0.18,0.252,0.09,0.095,0.092,0.089
0.108,0.157,0.182,0.256,0.09,0.096,0.092,0.087
0.108,0.159,0.184,0.26,0.091,0.096,0.093,0.087
0.109,0.161,0.187,0.265,0.091,0.097,0.094,0.089
0.11,0.163,0.189,0.27,0.092,0.098,0.094,0.088
0.11,0.165,0.191,0.276,0.092,0.098,0.095,0.091
0.111,0.167,0.193,0.28,0.092,0.098,0.095,0.089
0.112,0.169,0.195,0.284,0.093,0.099,0.096,0.09
0.112,0.171,0.197,0.288,0.093,0.099,0.096,0.091
0.113,0.173,0.199,0.293,0.094,0.1,0.097,0.091
0.113,0.18,0.201,0.299,0.094,0.101,0.097,0.092
0.114,0.177,0.203,0.302,0.094,0.101,0.098,0.092
0.115,0.179,0.205,0.307,0.094,0.102,0.098,0.092
0.115,0.181,0.207,0.312,0.095,0.102,0.099,0.093
0.116,0.182,0.209,0.317,0.095,0.102,0.099,0.092
0.116,0.184,0.21,0.321,0.096,0.103,0.1,0.093
0.117,0.186,0.212,0.326,0.096,0.103,0.101,0.093
0.117,0.189,0.214,0.331,0.097,0.104,0.101,0.094
0.118,0.19,0.216,0.335,0.098,0.105,0.101,0.094
0.119,0.192,0.218,0.342,0.098,0.105,0.102,0.094
0.119,0.194,0.22,0.345,0.098,0.106,0.102,0.095
0.12,0.196,0.222,0.349,0.098,0.107,0.103,0.096
0.12,0.198,0.223,0.353,0.098,0.107,0.103,0.097
0.121,0.199,0.225,0.358,0.099,0.107,0.104,0.097
0.122,0.202,0.227,0.363,0.099,0.108,0.104,0.097
0.122,0.204,0.229,0.369,0.1,0.109,0.105,0.097
0.123,0.205,0.23,0.373,0.1,0.109,0.105,0.098
0.123,0.207,0.232,0.377,0.1,0.109,0.106,0.097
0.124,0.209,0.234,0.382,0.101,0.11,0.106,0.098
0.124,0.211,0.235,0.386,0.101,0.11,0.107,0.098
0.125,0.213,0.237,0.391,0.102,0.111,0.107,0.099
0.125,0.215,0.239,0.396,0.102,0.111,0.108,0.099
0.126,0.216,0.24,0.4,0.102,0.112,0.108,0.1
0.126,0.218,0.242,0.404,0.103,0.113,0.109,0.1
0.127,0.22,0.243,0.409,0.103,0.113,0.109,0.1
0.127,0.222,0.245,0.413,0.103,0.113,0.11,0.101
0.128,0.223,0.246,0.418,0.104,0.114,0.11,0.101
0.128,0.226,0.248,0.421,0.104,0.114,0.111,0.101
0.129,0.227,0.249,0.427,0.105,0.115,0.111,0.102
0.129,0.229,0.251,0.431,0.105,0.115,0.112,0.103
0.13,0.231,0.252,0.436,0.106,0.116,0.112,0.103
0.13,0.233,0.254,0.44,0.106,0.116,0.113,0.103
0.131,0.234,0.255,0.445,0.107,0.117,0.113,0.103
0.131,0.236,0.256,0.449,0.107,0.117,0.114,0.104
0.132,0.238,0.258,0.454,0.108,0.118,0.114,0.104
0.132,0.24,0.259,0.458,0.108,0.118,0.115,0.104
0.133,0.242,0.261,0.462,0.108,0.119,0.115,0.105
0.133,0.244,0.262,0.466,0.108,0.119,0.116,0.105
0.134,0.245,0.263,0.47,0.109,0.12,0.116,0.106
0.134,0.247,0.264,0.474,0.109,0.12,0.117,0.106
0.135,0.249,0.265,0.479,0.109,0.121,0.117,0.106
0.135,0.251,0.267,0.483,0.11,0.121,0.118,0.107
0.136,0.253,0.268,0.487,0.11,0.122,0.118,0.108
0.136,0.254,0.269,0.492,0.111,0.122,0.118,0.108
0.137,0.256,0.27,0.496,0.111,0.123,0.119,0.108
0.137,0.258,0.272,0.5,0.111,0.123,0.12,0.108
0.137,0.26,0.273,0.504,0.111,0.124,0.12,0.109
0.138,0.262,0.274,0.508,0.112,0.124,0.121,0.109
0.138,0.263,0.275,0.512,0.113,0.125,0.121,0.11
0.139,0.265,0.276,0.517,0.113,0.125,0.121,0.11
0.139,0.267,0.277,0.521,0.113,0.126,0.122,0.11
0.14,0.269,0.278,0.525,0.114,0.126,0.122,0.11
0.14,0.27,0.279,0.529,0.114,0.127,0.123,0.111
0.141,0.272,0.281,0.533,0.114,0.128,0.123,0.111
0.141,0.274,0.281,0.537,0.115,0.128,0.124,0.112
0.141,0.276,0.282,0.541,0.115,0.128,0.124,0.112
0.142,0.277,0.283,0.545,0.115,0.129,0.125,0.112
0.142,0.279,0.284,0.549,0.116,0.129,0.125,0.113
0.143,0.281,0.285,0.553,0.116,0.13,0.126,0.113
0.143,0.283,0.286,0.557,0.117,0.13,0.126,0.114
0.144,0.284,0.287,0.561,0.117,0.13,0.127,0.114
0.144,0.286,0.288,0.565,0.117,0.131,0.127,0.115
0.144,0.288,0.289,0.569,0.118,0.131,0.128,0.115
