A1,B1,C1,D1,E1,F1,G1,H1
0.069,0.072,0.074,0.071,0.069,0.071,0.07,0.07
0.069,0.072,0.075,0.071,0.069,0.072,0.069,0.07
0.07,0.072,0.075,0.072,0.07,0.071,0.07,0.07
0.07,0.073,0.076,0.073,0.071,0.072,0.07,0.07
0.07,0.073,0.076,0.074,0.07,0.073,0.07,0.07
0.071,0.074,0.077,0.075,0.071,0.073,0.07,0.071
0.071,0.074,0.078,0.076,0.071,0.073,0.07,0.071
0.072,0.076,0.079,0.078,0.072,0.073,0.071,0.072
0.073,0.077,0.082,0.082,0.072,0.074,0.071,0.072
0.073,0.078,0.083,0.086,0.072,0.074,0.072,0.072
0.074,0.08,0.085,0.084,0.073,0.075,0.072,0.072
0.075,0.082,0.087,0.087,0.074,0.075,0.073,0.073
0.076,0.084,0.088,0.089,0.074,0.076,0.073,0.073
0.077,0.086,0.09,0.092,0.074,0.076,0.074,0.073
0.078,0.088,0.092,0.096,0.075,0.077,0.074,0.074
0.08,0.09,0.094,0.099,0.076,0.077,0.075,0.074
0.081,0.091,0.097,0.103,0.076,0.078,0.075,0.075
0.082,0.099,0.099,0.107,0.076,0.078,0.076,0.075
0.083,0.101,0.102,0.111,0.077,0.08,0.076,0.075
0.084,0.103,0.104,0.115,0.077,0.08,0.077,0.076
0.085,0.1,0.107,0.121,0.078,0.08,0.077,0.076
0.086,0.108,0.111,0.126,0.079,0.081,0.078,0.076
0.087,0.105,0.114,0.131,0.079,0.081,0.078,0.077
0.088,0.106,0.117,0.136,0.08,0.082,0.079,0.077
0.088,0.117,0.119,0.139,0.08,0.083,0.079,0.078
0.089,0.113,0.123,0.145,0.08,0.083,0.08,0.078
0.09,0.112,0.126,0.151,0.081,0.084,0.08,0.078
0.091,0.114,0.128,0.154,0.081,0.084,0.081,0.08
0.092,0.116,0.132,0.159,0.082,0.085,0.082,0.079
0.093,0.121,0.134,0.165,0.082,0.086,0.083,0.081
0.094,0.123,0.137,0.169,0.083,0.086,0.083,0.081
0.095,0.127,0.139,0.173,0.083,0.086,0.083,0.082
0.095,0.124,0.142,0.177,0.083,0.087,0.084,0.081
0.096,0.125,0.145,0.182,0.084,0.087,0.084,0.081
0.097,0.133,0.147,0.186,0.084,0.088,0.085,0.082
0.098,0.139,0.149,0.19,0.084,0.088,0.086,0.084
0.098,0.137,0.152,0.195,0.085,0.089,0.086,0.084
0.099,0.133,0.154,0.199,0.085,0.09,0.086,0.083
0.1,0.141,0.157,0.204,0.086,0.09,0.087,0.083
0.101,0.14,0.159,0.208,0.086,0.09,0.088,0.085
0.101,0.14,0.161,0.213,0.086,0.091,0.088,0.085
0.102,0.141,0.164,0.222,0.087,0.092,0.088,0.084
0.103,0.143,0.166,0.223,0.087,0.092,0.089,0.085
0.104,0.145,0.169,0.228,0.088,0.093,0.089,0.085
