Well ID,Name,Well,"Mean RFU [354,456]",Count,Mean,Std Dev,CV (%)
SPL1,nobleo_Alda0uM_rep1,A1,10372,1,10372,?????,?????
SPL2,nobleo_Alda5uM_rep1,A2,9442,1,9442,?????,?????
SPL3,nobleo_Alda40uM_rep1,A3,10083,1,10083,?????,?????
SPL4,plusbleo_Alda0uM_rep1,A4,3185,1,3185,?????,?????
SPL5,plusbleo_Alda5uM_rep1,A5,3213,1,3213,?????,?????
SPL6,plusbleo_Alda40uM_rep1,A6,3289,1,3289,?????,?????
SPL7,nobleo_Alda0uM_rep2,B1,10188,1,10188,?????,?????
SPL8,nobleo_Alda5uM_rep2,B2,9019,1,9019,?????,?????
SPL9,nobleo_Alda40uM_rep2,B3,8876,1,8876,?????,?????
SPL10,plusbleo_Alda0uM_rep2,B4,2943,1,2943,?????,?????
SPL11,plusbleo_Alda5uM_rep2,B5,3070,1,3070,?????,?????
SPL12,plusbleo_Alda40uM_rep2,B6,3324,1,3324,?????,?????
SPL13,nobleo_Alda0uM_rep3,C1,10160,1,10160,?????,?????
SPL14,nobleo_Alda5uM_rep3,C2,9415,1,9415,?????,?????
SPL15,nobleo_Alda40uM_rep3,C3,9402,1,9402,?????,?????
SPL16,plusbleo_Alda0uM_rep3,C4,3075,1,3075,?????,?????
SPL17,plusbleo_Alda5uM_rep3,C5,2985,1,2985,?????,?????
SPL18,plusbleo_Alda40uM_rep3,C6,3123,1,3123,?????,?????
SPL19,NA_NA_blank1,D1,1759,1,1759,?????,?????
SPL20,NA_NA_blank2,D2,1893,1,1893,?????,?????
SPL21,NA_NA_blank3,D3,1902,1,1902,?????,?????
SPL22,NA_NA_blank4,D4,1853,1,1853,?????,?????
SPL23,NA_NA_blank5,D5,1872,1,1872,?????,?????
SPL24,NA_NA_blank6,D6,1757,1,1757,?????,?????
