Well ID,Name,Well,"Mean RFU [354,456]",Count,Mean,Std Dev,CV (%)
SPL1,nobleo_Alda0uM_rep1,A1,10823,1,10823,?????,?????
SPL2,nobleo_Alda0uM_rep2,B1,10166,1,10166,?????,?????
SPL3,nobleo_Alda0uM_rep3,C1,10049,1,10049,?????,?????
SPL4,NA_NA_blank1,D1,2094,1,2094,?????,?????
SPL5,nobleo_Alda5uM_rep1,A2,9839,1,9839,?????,?????
SPL6,nobleo_Alda5uM_rep2,B2,8719,1,8719,?????,?????
SPL7,nobleo_Alda5uM_rep3,C2,8840,1,8840,?????,?????
SPL8,NA_NA_blank2,D2,2335,1,2335,?????,?????
SPL9,nobleo_Alda40uM_rep1,A3,9509,1,9509,?????,?????
SPL10,nobleo_Alda40uM_rep2,B3,8253,1,8253,?????,?????
SPL11,nobleo_Alda40uM_rep3,C3,7806,1,7806,?????,?????
SPL12,NA_NA_blank3,D3,2299,1,2299,?????,?????
SPL13,plusbleo_Alda0uM_rep1,A4,3677,1,3677,?????,?????
SPL14,plusbleo_Alda0uM_rep2,B4,3485,1,3485,?????,?????
SPL15,plusbleo_Alda0uM_rep3,C4,3358,1,3358,?????,?????
SPL16,NA_NA_blank4,D4,2357,1,2357,?????,?????
SPL17,plusbleo_Alda5uM_rep1,A5,3740,1,3740,?????,?????
SPL18,plusbleo_Alda5uM_rep2,B5,3429,1,3429,?????,?????
SPL19,plusbleo_Alda5uM_rep3,C5,3360,1,3360,?????,?????
SPL20,NA_NA_blank5,D5,2298,1,2298,?????,?????
SPL21,plusbleo_Alda40uM_rep1,A6,3945,1,3945,?????,?????
SPL22,plusbleo_Alda40uM_rep2,B6,3745,1,3745,?????,?????
SPL23,plusbleo_Alda40uM_rep3,C6,3468,1,3468,?????,?????
SPL24,NA_NA_blank6,D6,2166,1,2166,?????,?????
