bleo,Alda1,SABGal_norm
nobleo,Alda0uM,1.9265166306452831e-4
nobleo,Alda40uM,3.1720841986225946e-4
nobleo,Alda5uM,3.5894194982361423e-4
plusbleo,Alda0uM,0.0010637685876217205
plusbleo,Alda40uM,6.047573135686633e-4
plusbleo,Alda5uM,0.0024340032677474498
