bleo,Alda1,SABGal_norm
nobleo,Alda0uM,3.076300927386586e-4
nobleo,Alda40uM,4.35159298417318e-4
nobleo,Alda5uM,4.1368036798126784e-4
plusbleo,Alda0uM,-0.003331106221164357
plusbleo,Alda40uM,6.419582980652378e-4
plusbleo,Alda5uM,0.001809182694147673
