Well ID,Name,Well,"Mean RFU [354,456]",Count,Mean,Std Dev,CV (%)
SPL1,nobleo_Alda0uM_rep1,A1,8684,1,8684,?????,?????
SPL2,nobleo_Alda5uM_rep1,A2,7969,1,7969,?????,?????
SPL3,nobleo_Alda40uM_rep1,A3,8047,1,8047,?????,?????
SPL4,plusbleo_Alda0uM_rep1,A4,2885,1,2885,?????,?????
SPL5,plusbleo_Alda5uM_rep1,A5,2759,1,2759,?????,?????
SPL6,plusbleo_Alda40uM_rep1,A6,2799,1,2799,?????,?????
SPL7,nobleo_Alda0uM_rep2,B1,4231,1,4231,?????,?????
SPL8,nobleo_Alda5uM_rep2,B2,7504,1,7504,?????,?????
SPL9,nobleo_Alda40uM_rep2,B3,6967,1,6967,?????,?????
SPL10,plusbleo_Alda0uM_rep2,B4,2582,1,2582,?????,?????
SPL11,plusbleo_Alda5uM_rep2,B5,2482,1,2482,?????,?????
SPL12,plusbleo_Alda40uM_rep2,B6,2748,1,2748,?????,?????
SPL13,nobleo_Alda0uM_rep3,C1,3209,1,3209,?????,?????
SPL14,nobleo_Alda5uM_rep3,C2,7546,1,7546,?????,?????
SPL15,nobleo_Alda40uM_rep3,C3,5083,1,5083,?????,?????
SPL16,plusbleo_Alda0uM_rep3,C4,2789,1,2789,?????,?????
SPL17,plusbleo_Alda5uM_rep3,C5,2581,1,2581,?????,?????
SPL18,plusbleo_Alda40uM_rep3,C6,2689,1,2689,?????,?????
SPL19,NA_NA_blank1,D1,1802,1,1802,?????,?????
SPL20,NA_NA_blank2,D2,1965,1,1965,?????,?????
SPL21,NA_NA_blank3,D3,1944,1,1944,?????,?????
SPL22,NA_NA_blank4,D4,1911,1,1911,?????,?????
SPL23,NA_NA_blank5,D5,1944,1,1944,?????,?????
SPL24,NA_NA_blank6,D6,1740,1,1740,?????,?????
