A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0.098,0.091,0.137,0.099,0.089,0.091,0.091,0.087,0.173,0.443,0.219,0.408,0.111,0.123,0.105,0.097
0.099,0.091,0.137,0.099,0.09,0.091,0.091,0.088,0.175,0.449,0.222,0.419,0.112,0.124,0.105,0.097
0.099,0.092,0.138,0.1,0.09,0.092,0.092,0.088,0.177,0.456,0.226,0.431,0.113,0.125,0.106,0.099
0.099,0.092,0.139,0.101,0.09,0.092,0.092,0.088,0.182,0.462,0.229,0.442,0.113,0.126,0.106,0.099
0.101,0.092,0.141,0.101,0.091,0.092,0.093,0.088,0.182,0.468,0.233,0.454,0.114,0.128,0.107,0.1
0.101,0.093,0.142,0.101,0.091,0.092,0.093,0.089,0.182,0.474,0.236,0.464,0.115,0.128,0.107,0.1
0.101,0.093,0.144,0.102,0.091,0.092,0.094,0.089,0.184,0.48,0.239,0.478,0.115,0.13,0.108,0.099
0.102,0.093,0.145,0.103,0.092,0.093,0.094,0.089,0.187,0.486,0.243,0.487,0.116,0.131,0.108,0.101
0.102,0.094,0.147,0.103,0.092,0.093,0.094,0.09,0.188,0.491,0.246,0.5,0.117,0.133,0.108,0.101
0.102,0.094,0.148,0.103,0.092,0.093,0.095,0.089,0.189,0.497,0.25,0.51,0.117,0.134,0.109,0.101
0.103,0.095,0.15,0.105,0.093,0.093,0.095,0.089,0.193,0.501,0.253,0.522,0.118,0.134,0.109,0.102
0.103,0.095,0.151,0.107,0.093,0.094,0.096,0.089,0.194,0.506,0.257,0.537,0.118,0.134,0.11,0.102
0.104,0.095,0.155,0.108,0.093,0.094,0.096,0.09,0.195,0.512,0.26,0.547,0.119,0.137,0.11,0.102
0.104,0.096,0.155,0.111,0.093,0.094,0.097,0.09,0.195,0.516,0.264,0.558,0.12,0.137,0.111,0.102
0.105,0.096,0.156,0.112,0.094,0.094,0.097,0.09,0.197,0.521,0.267,0.57,0.121,0.139,0.111,0.104
0.105,0.097,0.157,0.108,0.094,0.095,0.098,0.091,0.199,0.527,0.271,0.582,0.121,0.14,0.112,0.102
0.106,0.097,0.16,0.115,0.095,0.095,0.098,0.091,0.201,0.531,0.274,0.597,0.122,0.141,0.112,0.102
0.106,0.098,0.16,0.114,0.095,0.095,0.099,0.091,0.204,0.535,0.278,0.606,0.122,0.14,0.113,0.102
0.106,0.098,0.161,0.114,0.095,0.095,0.099,0.091,0.203,0.539,0.281,0.62,0.123,0.141,0.113,0.105
