Well ID,Name,Well,"Mean RFU [354,456]",Count,Mean,Std Dev,CV (%)
SPL1,nobleo_Alda0uM_rep1,A1,13889,1,13889,?????,?????
SPL2,nobleo_Alda5uM_rep1,A2,12646,1,12646,?????,?????
SPL3,nobleo_Alda40uM_rep1,A3,12094,1,12094,?????,?????
SPL4,plusbleo_Alda0uM_rep1,A4,3621,1,3621,?????,?????
SPL5,plusbleo_Alda5uM_rep1,A5,3571,1,3571,?????,?????
SPL6,plusbleo_Alda40uM_rep1,A6,3747,1,3747,?????,?????
SPL7,nobleo_Alda0uM_rep2,B1,13563,1,13563,?????,?????
SPL8,nobleo_Alda5uM_rep2,B2,11656,1,11656,?????,?????
SPL9,nobleo_Alda40uM_rep2,B3,11320,1,11320,?????,?????
SPL10,plusbleo_Alda0uM_rep2,B4,3310,1,3310,?????,?????
SPL11,plusbleo_Alda5uM_rep2,B5,3267,1,3267,?????,?????
SPL12,plusbleo_Alda40uM_rep2,B6,3652,1,3652,?????,?????
SPL13,nobleo_Alda0uM_rep3,C1,12805,1,12805,?????,?????
SPL14,nobleo_Alda5uM_rep3,C2,11250,1,11250,?????,?????
SPL15,nobleo_Alda40uM_rep3,C3,10975,1,10975,?????,?????
SPL16,plusbleo_Alda0uM_rep3,C4,3278,1,3278,?????,?????
SPL17,plusbleo_Alda5uM_rep3,C5,3308,1,3308,?????,?????
SPL18,plusbleo_Alda40uM_rep3,C6,3509,1,3509,?????,?????
SPL19,NA_NA_blank1,D1,1730,1,1730,?????,?????
SPL20,NA_NA_blank2,D2,1880,1,1880,?????,?????
SPL21,NA_NA_blank3,D3,1848,1,1848,?????,?????
SPL22,NA_NA_blank4,D4,1844,1,1844,?????,?????
SPL23,NA_NA_blank5,D5,1891,1,1891,?????,?????
SPL24,NA_NA_blank6,D6,1765,1,1765,?????,?????
