bleo,Alda1,SABGal_norm
nobleo,Alda0uM,6.582108079281235e-5
nobleo,Alda40uM,4.143267751758535e-5
nobleo,Alda5uM,3.843033545142896e-5
plusbleo,Alda0uM,2.2509987335745846e-4
plusbleo,Alda40uM,1.3161522989271608e-4
plusbleo,Alda5uM,2.059451443246343e-4
