Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
0000378_01,700,00001,10960,52120,420,98,Signal
0000378_01,700,00002,12058,54058,420,100,Signal
0000378_01,700,00003,10520,53360,420,102,Signal
0000378_01,700,00004,12736,55576,420,102,Signal
0000378_01,700,00005,12899,55739,420,102,Signal
0000378_01,700,00006,12923,56603,420,104,Signal
