Image Name,Channel,Name,Signal,Total,Area,Bkgnd.,Type
0000381_01,800,00001,684237,877773,756,256,Signal
0000381_01,800,00002,658622,790166,756,174,Signal
0000381_01,800,00003,585073,732493,756,195,Signal
0000381_01,800,00004,603345,766641,756,216,Signal
0000381_01,800,00005,664603,790855,756,167,Signal
0000381_01,800,00006,720268,826108,756,140,Signal
