Time,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3
1:46:05,0.057,0.063,0.024,0.076,0.017,0.043,0.02,0.038,0.014,0.02,0.021,0.075,0.013,0.023,0.053,0.05,0.078,0.021,0.06,0.132,0.055,0.019,0.042,0.181,0.043,0.027,0.116,0.133,0.039,0.041,0.095
1:47:05,0.057,0.064,0.024,0.077,0.017,0.043,0.02,0.038,0.014,0.021,0.021,0.075,0.013,0.023,0.053,0.05,0.078,0.021,0.061,0.132,0.055,0.02,0.042,0.182,0.043,0.027,0.116,0.134,0.04,0.041,0.095
1:48:05,0.057,0.064,0.024,0.077,0.017,0.043,0.02,0.038,0.014,0.021,0.021,0.076,0.013,0.023,0.053,0.051,0.078,0.022,0.061,0.134,0.055,0.02,0.043,0.183,0.043,0.027,0.116,0.135,0.04,0.041,0.097
1:49:05,0.058,0.064,0.024,0.077,0.017,0.044,0.02,0.038,0.014,0.021,0.022,0.076,0.013,0.024,0.054,0.051,0.079,0.022,0.062,0.134,0.056,0.02,0.043,0.183,0.044,0.028,0.117,0.135,0.04,0.042,0.096
1:50:05,0.058,0.065,0.024,0.078,0.017,0.044,0.02,0.039,0.014,0.021,0.022,0.077,0.013,0.024,0.054,0.051,0.079,0.022,0.062,0.135,0.056,0.02,0.043,0.184,0.044,0.028,0.118,0.136,0.04,0.042,0.097
1:51:05,0.058,0.065,0.025,0.079,0.017,0.044,0.02,0.039,0.014,0.021,0.022,0.077,0.013,0.024,0.054,0.051,0.08,0.022,0.062,0.135,0.056,0.02,0.043,0.185,0.044,0.028,0.118,0.136,0.04,0.042,0.097
1:52:05,0.059,0.065,0.025,0.078,0.018,0.044,0.02,0.039,0.014,0.022,0.022,0.077,0.013,0.024,0.055,0.052,0.08,0.022,0.063,0.136,0.057,0.021,0.043,0.186,0.044,0.03,0.119,0.136,0.041,0.042,0.098
1:53:05,0.059,0.066,0.025,0.079,0.018,0.045,0.02,0.039,0.014,0.021,0.022,0.078,0.013,0.024,0.055,0.052,0.081,0.022,0.063,0.137,0.057,0.021,0.044,0.187,0.045,0.027,0.12,0.137,0.041,0.042,0.098
1:54:05,0.059,0.066,0.025,0.079,0.018,0.045,0.02,0.039,0.014,0.022,0.022,0.078,0.013,0.024,0.055,0.052,0.081,0.022,0.063,0.138,0.057,0.021,0.044,0.188,0.045,0.03,0.121,0.137,0.041,0.043,0.099
1:55:05,0.06,0.066,0.025,0.079,0.018,0.045,0.021,0.04,0.014,0.022,0.022,0.078,0.013,0.025,0.056,0.052,0.081,0.022,0.064,0.138,0.057,0.021,0.044,0.189,0.045,0.029,0.122,0.138,0.041,0.043,0.099
1:56:05,0.06,0.067,0.025,0.08,0.018,0.045,0.021,0.04,0.015,0.022,0.022,0.079,0.013,0.025,0.056,0.053,0.082,0.022,0.064,0.139,0.058,0.021,0.044,0.19,0.045,0.029,0.122,0.139,0.042,0.043,0.099
1:57:05,0.061,0.067,0.025,0.08,0.018,0.045,0.021,0.04,0.015,0.022,0.022,0.079,0.013,0.025,0.056,0.053,0.082,0.023,0.064,0.139,0.058,0.022,0.045,0.19,0.045,0.028,0.122,0.139,0.042,0.043,0.099
1:58:05,0.061,0.067,0.025,0.08,0.018,0.046,0.021,0.04,0.015,0.022,0.022,0.08,0.013,0.025,0.057,0.053,0.083,0.022,0.065,0.14,0.058,0.022,0.045,0.191,0.046,0.029,0.123,0.139,0.042,0.043,0.1
1:59:05,0.061,0.068,0.026,0.08,0.018,0.046,0.021,0.041,0.015,0.023,0.022,0.08,0.014,0.025,0.057,0.053,0.083,0.023,0.065,0.141,0.059,0.022,0.045,0.192,0.046,0.03,0.124,0.14,0.042,0.044,0.101
2:00:05,0.062,0.068,0.026,0.081,0.018,0.046,0.021,0.041,0.015,0.022,0.023,0.08,0.014,0.025,0.057,0.054,0.083,0.023,0.065,0.142,0.059,0.021,0.045,0.193,0.046,0.031,0.124,0.14,0.043,0.044,0.101
